Match %,Title,Company,Location,Apply URL,LinkedIn Contacts,Applied,Status,Notes
54%,"Product, Platform & Enterprise Full Stack Sr/Staff Software Engineer",BNSF Railway,Remote,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-full-stack-sr-staff-software-engineer-2088612,https://www.linkedin.com/search/results/people/?keywords=Product%2C%20Platform%20%26%20Enterprise%20Full%20Stack%20Sr/Staff%20Software%20Engineer%20BNSF%20Railway&origin=GLOBAL_SEARCH_HEADER,,,
54%,Sr/Staff AI Engineer,BNSF Railway,Remote,https://remotive.com/remote-jobs/ai-ml/sr-staff-ai-engineer-2088613,https://www.linkedin.com/search/results/people/?keywords=Sr/Staff%20AI%20Engineer%20BNSF%20Railway&origin=GLOBAL_SEARCH_HEADER,,,
53%,Senior Product Marketer API,CoinGecko,Remote,https://remoteOK.com/remote-jobs/remote-senior-product-marketer-api-coingecko-1130132,https://www.linkedin.com/search/results/people/?keywords=Senior%20Product%20Marketer%20API%20CoinGecko&origin=GLOBAL_SEARCH_HEADER,,,
52%,Senior Manager Advertising Analytics,Spreetail,Remote,https://remoteOK.com/remote-jobs/remote-senior-manager-advertising-analytics-spreetail-1130122,https://www.linkedin.com/search/results/people/?keywords=Senior%20Manager%20Advertising%20Analytics%20Spreetail&origin=GLOBAL_SEARCH_HEADER,,,
51%,"Product, Platform & Enterprise Front End Sr/Staff Software Engineer",BNSF Railway,Remote,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-front-end-sr-staff-software-engineer-2088611,https://www.linkedin.com/search/results/people/?keywords=Product%2C%20Platform%20%26%20Enterprise%20Front%20End%20Sr/Staff%20Software%20Engineer%20BNSF%20Railway&origin=GLOBAL_SEARCH_HEADER,,,
48%,Senior Full Stack Software Engineer .NET Angular,Ubiminds,Remote,https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-net-angular-ubiminds-1130094,https://www.linkedin.com/search/results/people/?keywords=Senior%20Full%20Stack%20Software%20Engineer%20.NET%20Angular%20Ubiminds&origin=GLOBAL_SEARCH_HEADER,,,
48%,Senior Automation Engineer Java,Ubiminds,Remote,https://remoteOK.com/remote-jobs/remote-senior-automation-engineer-java-ubiminds-1130093,https://www.linkedin.com/search/results/people/?keywords=Senior%20Automation%20Engineer%20Java%20Ubiminds&origin=GLOBAL_SEARCH_HEADER,,,
48%,Tech Lead Databricks Data Engineer,Mitre Media,Remote,https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,https://www.linkedin.com/search/results/people/?keywords=Tech%20Lead%20Databricks%20Data%20Engineer%20Mitre%20Media&origin=GLOBAL_SEARCH_HEADER,,,
47%,Tech Lead Full-Stack Rails Engineer,Mitre Media,Remote,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,https://www.linkedin.com/search/results/people/?keywords=Tech%20Lead%20Full-Stack%20Rails%20Engineer%20Mitre%20Media&origin=GLOBAL_SEARCH_HEADER,,,
47%,Software Engineer C++ (Senior),Apexver,Remote,https://remotive.com/remote-jobs/software-development/software-engineer-c-senior-2069728,https://www.linkedin.com/search/results/people/?keywords=Software%20Engineer%20C%2B%2B%20%28Senior%29%20Apexver&origin=GLOBAL_SEARCH_HEADER,,,
47%,Senior Front-End Developer- Analytics & UX Focused (Remote),Actionable.co,Remote,https://remotive.com/remote-jobs/software-development/senior-front-end-developer-analytics-ux-focused-remote-2088537,https://www.linkedin.com/search/results/people/?keywords=Senior%20Front-End%20Developer-%20Analytics%20%26%20UX%20Focused%20%28Remote%29%20Actionable.co&origin=GLOBAL_SEARCH_HEADER,,,
46%,Senior Enterprise Middleware Engineer,Spry Methods,Remote,https://remoteOK.com/remote-jobs/remote-senior-enterprise-middleware-engineer-spry-methods-1130072,https://www.linkedin.com/search/results/people/?keywords=Senior%20Enterprise%20Middleware%20Engineer%20Spry%20Methods&origin=GLOBAL_SEARCH_HEADER,,,
46%,Senior Full Stack Engineer Ruby React,Ubiminds,Remote,https://remoteOK.com/remote-jobs/remote-senior-full-stack-engineer-ruby-react-ubiminds-1130030,https://www.linkedin.com/search/results/people/?keywords=Senior%20Full%20Stack%20Engineer%20Ruby%20React%20Ubiminds&origin=GLOBAL_SEARCH_HEADER,,,
45%,Senior Angular Software Engineer,Aiwyn,Remote,https://remoteOK.com/remote-jobs/remote-senior-angular-software-engineer-aiwyn-1130070,https://www.linkedin.com/search/results/people/?keywords=Senior%20Angular%20Software%20Engineer%20Aiwyn&origin=GLOBAL_SEARCH_HEADER,,,
45%,Job 27246 DevOps Strategy &amp; Culture Lead Brazil,CI&amp;T,Remote,https://remoteOK.com/remote-jobs/remote-job-27246-devops-strategy-amp-culture-lead-brazil-ciampt-1130032,https://www.linkedin.com/search/results/people/?keywords=Job%2027246%20DevOps%20Strategy%20%26amp%3B%20Culture%20Lead%20Brazil%20CI%26amp%3BT&origin=GLOBAL_SEARCH_HEADER,,,
44%,Senior Full Stack Developer,MicroVentures,Remote,https://remoteOK.com/remote-jobs/remote-senior-full-stack-developer-microventures-1130107,https://www.linkedin.com/search/results/people/?keywords=Senior%20Full%20Stack%20Developer%20MicroVentures&origin=GLOBAL_SEARCH_HEADER,,,
